122-SPK-01  PRIMARY CRUSHED ORE STOCKPILE  
123-BIN-01  ROM BIN
123-FDR-01  PRIMARY  BELT FEEDER 
123-WTM-01  PRIMARY  BELT FEEDER WEIGHTOMETER
123-CHU-01  PRIMARY  BELT FEEDER DISCHARGE CHUTE
123-SCR-01  PRIMARY SCREEN
123-UPN-01  PRIMARY SCREEN UNDERPAN
123-CHU-03  PRIMARY SCREEN OVERSIZE DISCHARGE CHUTE
123-SMP-01  PRIMARY SCREENING SUMP
123-PMP-01  PRIMARY SCREENING SUMP PUMP
123-PMP-02  PRIMARY SCREEN FINES TRANSFER PUMP 
131-CON-01  PRIMARY DMS SURGE BIN FEED CONVEYOR
131-CHU-01  PRIMARY DMS SURGE BIN FEED CONVEYOR DISCHARGE CHUTE
131-SAC-01  PRIMARY DMS FEED SAMPLER
131-BIN-02  PRIMARY DMS FEED SAMPLER SAMPLE BIN
131-BIN-01  PRIMARY DMS SURGE BIN 
131-FDR-01  PRIMARY DMS SURGE BIN FEEDER
131-CHU-02  PRIMARY DMS FEED CONVEYOR FFED CHUTE
131-MGB-01  TRAMP METAL BELT MAGNET
131-CHU-03  TRAMP METAL BELT MAGNET DISCHARGE CHUTE
131-BIN-03  TRAMP METAL BELT MAGNET DISCHARGE BIN
131-CON-02  PRIMARY DMS FEED CONVEYOR
131-WTM-01  PRIMARY DMS FEED CONVEYOR WEIGHTOMETER
131-CHU-04  PRIMARY DMS FEED CONVEYOR DISCHARGE CHUTE
DP1-CHU-01  PREP SCREEN FEED CHUTE
DP1-CHU-02  SINKS SCREEN FEED CHUTE
DP1-CHU-03  FLOATS SCREEN FEED CHUTE
DP1-CHU-04  DMS TAILINGS CONVEYOR FEED CHUTE
DP1-CHU-05  DMS SINKS CONVEYOR FEED CHUTE
DP1-CHU-06  MEDIA CLEANING SCREEN FEED CHUTE
DP1-CHU-07  MEDIA CLEANING SCREEN DISCHARGE CHUTE
DP1-CYC-01A  DMS CYCLONE 1
DP1-CYC-01B  DMS CYCLONE 2
DP1-CYC-02A  DENSIFIER 1
DP1-CYC-02B  DENSIFIER 2
DP1-DMC-01A  MAGSEP DEMAG COIL 1
DP1-DMC-01B  MAGSEP DEMAG COIL 2
DP1-HBX-01  HEADER BOX
DP1-MBX-01  MIXING BOX
DP1-MGS-01A  MAGNETIC SEPARATOR 1
DP1-MGS-01B  MAGNETIC SEPARATOR 2
DP1-PMP-01A  CYCLONE FEED PUMP
DP1-PMP-01B  CYCLONE FEED PUMP
DP1-PMP-02  CIRCULATING MEDIA PUMP
DP1-PMP-03  DENSIFIER FEED PUMP 
DP1-PMP-04  DILUTE MEDIA PUMP 
DP1-PMP-05  FLOOR SPILLAGE PUMP
DP1-PMP-06  EFFLUENT PUMP
DP1-SCN-01  FEED PREPARATION SCREEN
DP1-SCN-02  SINKS SCREEN
DP1-SCN-03  FLOATS SCREEN
DP1-SCN-04  MEDIA CLEANING SCREEN
DP1-SMP-01  CIRCULATING MEDIA SUMP
DP1-SMP-02  DILUTE MEDIA SUMP
DP1-SMP-03  FLOOR SPILLAGE SUMP
DP1-SMP-04  DENSIFIER FEED SUMP
DP1-SMP-05  EFFLUENT SUMP
DP1-UPN-01  SINKS SCREEN DRAIN UNDERPAN
DP1-UPN-02  SINKS SCREEN RINSE UNDERPAN
DP1-UPN-03  FLOATS SCREEN DRAIN UNDERPAN
DP1-UPN-04  FLOATS SCREEN RINSE UNDERPAN
DP1-UPN-05  FEED PREPARATION SCREEN UNDERPAN
DP1-UPN-06  MEDIA CLEANING SCREEN DRAIN UNDERPAN
DP1-UPN-07  MEDIA CLEANING SCREEN RINSE UNDERPAN
131-CHU-05  PRIMARY DMS FLOATS DISCHARGE CHUTE
131-CHU-06  PRIMARY DMS SINKS DISCHARGE CHUTE 
141-CON-01  SECONDARY DMS SURGE BIN FEED CONVEYOR
141-CHU-01  SECONDARY DMS SURGE BIN FEED CONVEYOR DISCHARGE CHUTE
141-BIN-01  SECONDARY FINES DMS SURGE BIN
141-FDR-01  SECONDARY FINES DMS SURGE BIN FEEDER
141-WTM-01  SECONDARY FINES DMS FEEDER WEIGHTOMETER
141-CHU-02  SECONDARY FINES DMS FEEDER DISCHARGE CHUTE
DP3-CHU-01  SECONDARY FINES DMS PREP SCREEN FEED CHUTE
DP3-CHU-02  SECONDARY FINES DMS SINK SCREEN FEED CHUTE
DP3-CHU-03  SECONDARY FINES DMS FLOAT SCREEN FEED CHUTE
DP3-CHU-04  SECONDARY FINES DMS DMS TAILINGS CONVEYOR FEED CHUTE
DP3-CHU-05  SECONDARY FINES DMS DMS SINKS CONVEYOR FEED CHUTE
DP3-CYC-01  SECONDARY FINES DMS CYCLONE
DP3-CYC-02  SECONDARY FINES DMS DENSIFIER
DP3-DMC-01  SECONDARY FINES DMS DEMAG COIL
DP3-HBX-01  SECONDARY FINES DMS HEADER BOX
DP3-MBX-01  SECONDARY FINES DMS MIXING BOX
DP3-MGS-01  SECONDARY FINES DMS MAGNETIC SEPARATOR 
DP3-PMP-01  SECONDARY FINES DMS CYCLONE FEED PUMP
DP3-PMP-02  SECONDARY FINES DMS CIRCULATING MEDIA PUMP
DP3-PMP-03  SECONDARY FINES DMS DENSIFIER FEED PUMP 
DP3-PMP-04  SECONDARY FINES DMS DILUTE MEDIA PUMP 
DP3-PMP-05  SECONDARY FINES DMS FLOOR SPILLAGE PUMP
DP3-PMP-06  SECONDARY FINES DMS EFFLUENT PUMP
DP3-SCN-01  SECONDARY FINES DMS FEED PREPARATION SCREEN
DP3-SCN-02  SECONDARY FINES DMS COMBINED FLOATS/SINK SCREEN
DP3-SMP-01  SECONDARY FINES DMS CIRCULATING MEDIA SUMP
DP3-SMP-02  SECONDARY FINES DMS DILUTE MEDIA SUMP
DP3-SMP-03  SECONDARY FINES DMS FLOOR SPILLAGE SUMP
DP3-SMP-04  SECONDARY FINES DMS DENSIFIER FEED SUMP
DP3-SMP-05  SECONDARY FINES DMS EFFLUENT SUMP
DP3-UPN-01  SECONDARY FINES DMS FEED PREPARATION SCREEN UNDERPAN
141-CHU-03  SECONDARY FINES DMS FLOATS DISCHARGE CHUTE
141-CHU-04  SECONDARY FINES DMS SINKS DISCHARGE CHUTE  
151-CON-01  RECRUSH DMS SURGE BIN FEED CONVEYOR
151-CHU-01  RECRUSH DMS SURGE BIN FEED CONVEYOR DISCHARGE CHUTE
151-BIN-01  RECRUSH DMS SURGE BIN 
151-FDR-01  RECRUSH DMS SURGE BIN FEEDER
151-WTM-01  RECRUSH DMS FEEDER WEIGHTOMETER
151-CHU-02  RECRUSH DMS FEEDER DISCHARGE CHUTE
DP2-CHU-01  PREP SCREEN FEED CHUTE
DP2-CHU-02  SINK SCREEN FEED CHUTE
DP2-CHU-03  FLOAT SCREEN FEED CHUTE
DP2-CHU-04  DMS TAILINGS CONVEYOR FEED CHUTE
DP2-CHU-05  DMS SINKS CONVEYOR FEED CHUTE
DP2-CYC-01  DMS CYCLONE
DP2-CYC-02  DENSIFIER
DP2-DMC-01  DEMAG COIL
DP2-HBX-01  HEADER BOX
DP2-MBX-01  MIXING BOX
DP2-MGS-01  MAGNETIC SEPARATOR 
DP2-PMP-01  CYCLONE FEED PUMP
DP2-PMP-02  CIRCULATING MEDIA PUMP
DP2-PMP-03  DENSIFIER FEED PUMP 
DP2-PMP-04  DILUTE MEDIA PUMP 
DP2-PMP-05  FLOOR SPILLAGE PUMP
DP2-PMP-06  EFFLUENT PUMP
DP2-SCN-01  FEED PREPARATION SCREEN
DP2-SCN-02  SINKS SCREEN
DP2-SCN-03  FLOATS SCREEN
DP2-SMP-01  CIRCULATING MEDIA SUMP
DP2-SMP-02  DILUTE MEDIA SUMP
DP2-SMP-03  FLOOR SPILLAGE SUMP
DP2-SMP-04  DENSIFIER FEED SUMP
DP2-SMP-05  EFFLUENT SUMP
DP2-SPL-01  CLEANING MEDIA SPLITTER BOX
DP2-UPN-01  SINKS SCREEN - DRAIN UNDERPAN
DP2-UPN-02  SINKS SCREEN - RINSE UNDERPAN
151-CHU-03  RECRUSH DMS FLOATS DISCHARGE CHUTE
151-CHU-04  RECRUSH DMS SINKS DISCHARGE CHUTE  
161-CON-01  SINKS SCREENING FEED CONVEYOR
161-WTM-01  COARSE RECRUSH FEED CONVEYOR WEIGHTOMETER 1
161-CHU-01  SINKS SCREENING FEED CONVEYOR DISCHARGE CHUTE
161-SCR-01  SINKS OVERSIZE SCREEN
161-UPN-01  SINKS OVERSIZE SCREEN UNDERSIZE UNDERPAN/DISCHARGE CHUTE
161-CHU-02  SINKS OVERSIZE SCREEN OVERSIZED DISCHARGE CHUTE
161-SMP-01  SINKS SCREENING SUMP
161-PMP-01  SINKS SCREENING SUMP PUMP  
162-SCR-01  SINKS UNDERSIZE SCREEN
162-UPN-01  SINKS UNDERSIZE SCREEN UNDERPAN
162-CHU-01  SINKS UNDERSIZE SCREEN OVERSIZED DISCHARGE CHUTE
162-PMP-01  SINKS UNDERSIZE SCREEN FINES TRANSFER PUMP  
163-CON-01  COARSE RECRUSH FEED CONVEYOR
163-WTM-01  COARSE RECRUSH FEED CONVEYOR WEIGHTOMETER 1
163-CHU-01  COARSE RECRUSH FEED CONVEYOR DISCHARGE CHUTE
163-BIN-01  COARSE RECRUSH FEED BIN
163-FDR-01  COARSE RECRUSH FEED BIN FEEDER 1
163-FDR-02  COARSE RECRUSH FEED BIN FEEDER 2
163-FDR-03  COARSE RECRUSH FEED BIN FEEDER 3
163-WTM-02  COARSE RECRUSH FEED BIN FEEDER 1 WEIGHTOMETER
163-WTM-03  COARSE RECRUSH FEED BIN FEEDER 2 WEIGHTOMETER
163-WTM-04  COARSE RECRUSH FEED BIN FEEDER 3 WEIGHTOMETER
163-CHU-02  COARSE RECRUSH CONE CRUSHER 1 FEED CHUTE
163-CHU-03  COARSE RECRUSH CONE CRUSHER 2 FEED CHUTE
163-CHU-04  COARSE RECRUSH CONE CRUSHER 3 FEED CHUTE
163-CRU-01  COARSE RECRUSH CONE CRUSHER 1
163-CRU-02  COARSE RECRUSH CONE CRUSHER 2
163-CRU-03  COARSE RECRUSH CONE CRUSHER 3
163-CHU-05  COARSE RECRUSH CONE CRUSHER 1 DISCHARGE CHUTE
163-CHU-06  COARSE RECRUSH CONE CRUSHER 2 DISCHARGE CHUTE
163-CHU-07  COARSE RECRUSH CONE CRUSHER 3 DISCHARGE CHUTE
163-BIN-02  COARSE RECRUSH RECLAIM BIN
163-CHU-08  COARSE RECRUSH RECLAIM BIN DISCHARGE CHUTE
163-FDR-04  COARSE RECRUSH RECLAIM FEEDER
163-WTM-06  COARSE RECRUSH RECLAIM FEEDER WEIGHTOMETER
163-CHU-09  COARSE RECRUSH RECLAIM FEEDER DISCHARGE CHUTE   
164-CON-01  COARSE RECRUSH OVERSIZED SCREENING FEED CONVEYOR
164-CHU-01  COARSE RECRUSH OVERSIZED SCREENING FEED CONVEYOR DISCHARGE CHUTE
164-SCR-01  COARSE RECRUSH OVERSIZE SCREEN
164-UPN-01  COARSE RECRUSH OVERSIZE SCREEN UNDERSIZED UNDERPAN/DISCHARGE CHUTE
164-CHU-02  COARSE RECRUSH OVERSIZE SCREEN OVERSIZED DISCHARGE CHUTE   
165-SCR-01  COARSE RECRUSH UNDERSIZE SCREEN
165-UPN-01  COARSE RECRUSH UNDERSIZE SCREEN UNDERPAN
165-CHU-01  COARSE RECRUSH UNDERSIZE SCREEN OVERSIZED DISCHARGE CHUTE
165-PMP-01  COARSE RECRUSH UNDERSIZE SCREEN FINES TRANSFER PUMP  
171-CON-01  SECONDARY FINES DMS PRODUCT TRANSFER CONVEYOR 
171-CHU-01  SECONDARY FINES DMS PRODUCT TRANSFER CONVEYOR DISCHARGE CHUTE
171-CON-02  RECRUSH DMS PRODUCT TRANSFER CONVEYOR 
171-WTM-01  SECONDARY FINES DMS PRODUCT TRANSFER CONVEYOR WEIGHTOMETER
171-WTM-02  RECRUSH DMS PRODUCT TRANSFER CONVEYOR WEIGHTOMETER
171-CHU-02  RECRUSH DMS PRODUCT TRANSFER CONVEYOR DISCHARGE CHUTE
171-SAC-01  PRODUCT BELT SAMPLER
171-BIN-01  PRODUCT SAMPLER BIN
171-CON-03  PRODUCT STOCKPILE RADIAL STACKER
171-CON-03A  PRODUCT STOCKPILE RADIAL STACKER SLEW DRIVE
171-CHU-03  PRODUCT STOCKPILE RADIAL STACKER DISCHARGE CHUTE
171-SPK-01  PRODUCT STOCKPILE  
182-TNK-01  THICKENER FEED BOX
182-THK-01  FINES THICKENER (Hydrualic Unit)
182-THK-01A FINES THICKENER ( Hydraulic Oil Air Cooler)
182-PMP-02  FINES THICKENER UNDERFLOW PUMP 1
182-PMP-03  FINES THICKENER UNDERFLOW PUMP 2
182-AGT-02  BELT FILTER SURGE TANK AGITATOR
